,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,100,41.0,3.0,5.0,3.0,4.0,2.0,4.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
1,200,43.0,3.0,5.0,4.0,4.0,2.0,4.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
2,300,43.0,3.0,5.0,4.0,4.0,2.0,4.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
3,400,43.0,3.0,5.0,4.0,4.0,2.0,4.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
4,500,43.0,3.0,5.0,4.0,4.0,2.0,4.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
5,600,43.0,3.0,5.0,4.0,4.0,2.0,4.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
6,700,43.0,3.0,5.0,4.0,4.0,2.0,4.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
7,800,43.0,3.0,5.0,4.0,4.0,2.0,4.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
8,900,43.0,3.0,5.0,4.0,4.0,2.0,4.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
9,10000,44.0,3.0,5.0,4.0,4.0,2.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
10,20000,44.0,3.0,5.0,4.0,4.0,2.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
11,30000,44.0,3.0,5.0,4.0,4.0,2.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
12,40000,44.0,3.0,5.0,4.0,4.0,2.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
13,50000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
14,60000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
15,70000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
16,80000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
17,90000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
18,100000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
19,110000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
20,120000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
21,130000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
22,140000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
23,150000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
24,160000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
25,170000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
26,180000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
27,190000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
28,200000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
29,210000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
30,220000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
31,230000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
32,240000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
33,250000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
34,260000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
35,270000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
36,280000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
37,290000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
38,300000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
39,310000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
40,320000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
41,330000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
42,340000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
43,350000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
44,360000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
45,370000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
46,380000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
47,390000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
48,400000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
49,410000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
50,420000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
51,430000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
52,440000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
53,450000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
54,460000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
55,470000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
56,480000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
57,490000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
58,500000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
59,510000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
60,520000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
61,530000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
62,540000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
63,550000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
64,560000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
65,570000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
66,580000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
67,590000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
68,600000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
69,610000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
70,620000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
71,630000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
72,640000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
73,650000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
74,660000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
75,670000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
76,680000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
77,690000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
78,700000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
79,710000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
80,720000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
81,730000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
82,740000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
83,750000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
84,760000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
85,770000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
86,780000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
87,790000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
88,800000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
89,810000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
90,820000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
